 269 O        PH                PO       H                  4.00e-11    0.00       0.0L   10  300CMB87
 270 O        PH2               PH       OH                 2.00e-11    0.00       0.0L   10  300CMI91
 271 O        PH2               PO       H2                 4.00e-11    0.00       0.0L   10  300CMB87
 272 O        PH2               HPO      H                  2.00e-11    0.00       0.0L   10  300C    
 273 O        O2H               O2       OH                 3.17e-11    0.00    -174.0L  200 2500ANIST
 274 O        HS                S        OH                 1.74e-11    0.67     956.0L  298 2500ANIST
 275 O        HS                SO       H                  2.32e-10    0.00       0.0L    umist95    
 276 O        H2O2              O2H      OH                 8.54e-14    3.25    1200.0L  200 2500ANIST
 277 O        H2S               HS       OH                 2.98e-12    1.62    1462.0L  200 2000ANIST
 278 O        C3                CO       C2                 5.00e-11    0.50       0.0L   10  300CMN85
 279 O        C3H               CO       C2H                1.00e-10    0.00     250.0L   10  300CHL89
 280 O        C2N               CO       CN                 6.00e-12    0.00       0.0M  298  298ANIST
 281 O        H2CCC             CO       C2H2               5.00e-11    0.50       0.0L   10  300C    
 282 O        C2O               CO       CO                 8.59e-11    0.00       0.0M  295  295ANIST
 283 O        SiC               SiO      C                  2.50e-11    0.50       0.0L   10  300CHM89
 284 O        SiC               Si       CO                 2.50e-11    0.50       0.0L   10  300CHM89
 285 O        HCSi              SiO      CH                 4.00e-11    0.00       0.0L   10  300CHM89
 286 O        OCN               NO       CO                 9.43e-11   -0.09     100.0L   10 2500ANIST
 287 O        OCN               O2       CN                 4.02e-10   -1.43    3501.0L  500 2500ANIST
 288 O        SiN               NO       Si                 2.50e-11    0.50       0.0L   10  300CHM89
 289 O        SiN               SiO      N                  5.75e-11    0.10     200.0L   10 3560ANIST
 290 O        CP                P        CO                 4.00e-11    0.00       0.0L   10  300CMI91
 291 O        HCP               PH       CO                 4.00e-11    0.00       0.0L   10  300CMI91
 292 O        CO2               O2       CO                 2.46e-11    0.00   26567.0L  300 6000ANIST
 293 O        N2O               NO       NO                 1.15e-10    0.00   13400.0M  300 4100CNIST
 294 O        N2O               O2       N2                 1.66e-10    0.00   14100.0M  300 4100CNIST
 295 O        CS                S        CO                 2.48e-10   -0.65     783.0L  150  906ANIST
 296 O        CS                SO       C                  4.68e-11    0.50   28940.0L  96441000CMI84
 297 O        HCS               OCS      H                  4.00e-11    0.50       0.0L   10  300CPH82
 298 O        NO2               O2       NO                 6.50e-12    0.00    -120.0L  200 2500ANIST
 299 O        CH2PH             PH2      CO       H         4.00e-11    0.00       0.0L   10  300CMI91
 300 O        NS                S        NO                 5.00e-11    0.50       0.0L   10  300CMI84
 301 O        NS                SO       N                  1.73e-11    0.50    4000.0L  133  300CMI84
 302 O        CCl               Cl       CO                 9.96e-11    0.00       0.0M   10 2500CNIST
 303 O        CCl               ClO      C                  1.38e-10    0.00   16050.0M  300 2500CNIST
 304 O        HPO               PO       OH                 4.00e-11    0.00       0.0L   10  300CMI91
 305 O        C4                C3       CO                 5.00e-11    0.50       0.0L   10  300CMN85
 306 O        SO                S        O2                 6.60e-13    0.00    2760.0L   92  300CLG88
 307 O        C4H               C3H      CO                 1.00e-10    0.00     250.0L   10  300CHL89
 308 O        C3N               C2N      CO                 2.00e-11    0.50       0.0L   10  300CMN85
 309 O        ClO               Cl       O2                 3.80e-11    0.00       0.0M  200 2500CNIST
 310 O        C3O               C3       O2                 1.00e-11    0.00       0.0L   10  300CMN85
 311 O        SiC2              SiC      CO                 4.00e-11    0.00       0.0L   10  300CHM89
 312 O        SiNC              SiN      CO                 4.00e-11    0.00       0.0L   10  300CHM89
 313 O        CCP               CP       CO                 4.00e-11    0.00       0.0L   10  300CMI91
 314 O        HC2P              HCP      CO                 4.00e-11    0.00       0.0L   10  300CMI91
 315 O        C5                C4       CO                 5.00e-11    0.50       0.0L   10  300CHL89
 316 O        OCS               CO2      S                  8.30e-11    0.00    5530.0L 1200 1900ANIST
 317 O        OCS               SO       CO                 1.60e-11    0.00    2150.0M  200 2500CNIST
 318 O        C5H               C4H      CO                 1.00e-10    0.00     250.0L   10  300CHL89
 319 O        SO2               SO       O2                 9.01e-12    0.00    9837.0L  440 3760ANIST
 320 O        SiC3              SiC2     CO                 4.00e-11    0.00       0.0L   10  300CHM89
 321 O        S2                SO       S                  1.73e-11    0.50       0.0M  298 2500CNIST
 322 O        C3P               CCP      CO                 4.00e-11    0.00       0.0L   10  300CMI91
 323 O        C6                C5       CO                 5.00e-11    0.50       0.0L   10  300CHL89
 324 O        C6H               C5H      CO                 1.00e-10    0.00     250.0L   10  300CHL89
 325 O        C5N               C4       OCN                2.00e-11    0.50       0.0L   10  300CHL89
 326 O        SiC4              SiC3     CO                 4.00e-11    0.00       0.0L   10  300CHM89
 327 O        C4P               C3P      CO                 4.00e-11    0.00       0.0L   10  300CMI91
 328 O        C7                C6       CO                 5.00e-11    0.50       0.0L   10  300CHL89
 329 O        C7H               C6H      CO                 1.00e-10    0.00     250.0L   10  300CHL89
 330 O        C8                C7       CO                 5.00e-11    0.50       0.0L   10  300CHL89
 331 O        C8H               C7H      CO                 1.00e-10    0.00     250.0L   10  300CHL89
 332 O        C7N               C6       OCN                2.00e-11    0.50       0.0L   10  300CHL89
 333 O        C9                C8       CO                 5.00e-11    0.50       0.0L   10  300CHL89
 334 O        C9H               C8H      CO                 1.00e-10    0.00     250.0L   10  300CHL89
 335 O        C9N               C8       OCN                2.00e-11    0.50       0.0L   10  300CHL89
 336 NH2      OH                NH3      O                  2.08e-13    0.76     262.0L  298 2500ANIST
 337 NH2      OH                H2O      NH                 1.50e-12    0.00       0.0L    replaced   
 338 NH2      NO                N2       OH       H         1.49e-12    0.00       0.0M 1500 2150ANIST
 339 NH2      NO                N2       H2O                4.27e-11   -2.50     331.0L  210 3000ANIST
 340 CH4      OH                H2O      CH3                3.77e-13    2.42    1162.0L  178 3000ANIST
 341 CH4      CN                HCN      CH3                3.14e-12    1.53     504.0M  160 2500CNIST
 342 CH4      O2                O2H      CH3                6.70e-11    0.00   28640.0L  300 2500ANIST
 343 OH       OH                H2O      O                  1.65e-12    1.14      50.0L     umist95   
 344 OH       OH                O2H      H                  1.82e-40    0.00       0.0M  298  298ANIST
 345 OH       NH3               H2O      NH2                1.47e-13    2.05       7.0L  200 3000ANIST
